Time,Milliseconds,Index,Freq,Vin,Vout,dB,Phase
2024-09-28 15:34:12.834790,5506,0,10,0.06259557,0.1152923,5.305134092698882,9.9e+37
2024-09-28 15:34:18.110531,10782,1,10.5,0.06179069,0.1146348,5.367868654405687,9.9e+37
2024-09-28 15:34:23.169236,15840,2,11.03,0.0629437,0.09998829,4.019937456257902,9.9e+37
2024-09-28 15:34:28.014791,20686,3,11.58,0.06292506,0.1153111,5.260949534899869,9.9e+37
2024-09-28 15:34:32.665098,25336,4,12.16,0.0619409,0.1023045,4.358344515967176,9.9e+37
2024-09-28 15:34:37.129489,29800,5,12.77,0.06316174,0.1137018,5.106265088441573,9.9e+37
2024-09-28 15:34:41.410752,34082,6,13.41,0.06259676,0.1139368,5.202243260803639,9.9e+37
2024-09-28 15:34:45.522431,38193,7,14.08,0.06240263,0.1150716,5.315305160772198,9.9e+37
2024-09-28 15:34:49.472763,42144,8,14.78,0.06318548,0.1141568,5.137689945270574,9.9e+37
2024-09-28 15:34:53.269840,45941,9,15.52,0.06222143,0.1130099,5.183530051861606,9.9e+37
2024-09-28 15:34:56.915309,49586,10,16.3,0.06325692,0.1017276,4.126615128138962,9.9e+37
2024-09-28 15:35:00.450391,53121,11,17.12,0.062313,0.114063,5.251322588739864,9.9e+37
2024-09-28 15:35:03.822791,56494,12,17.98,0.06324843,0.1137003,5.094237219677732,9.9e+37
2024-09-28 15:35:07.071491,59742,13,18.88,0.06239096,0.102823,4.339372054818604,9.9e+37
2024-09-28 15:35:10.195620,62867,14,19.82,0.06317209,0.112761,5.032673464915192,9.9e+37
2024-09-28 15:35:13.207343,65878,15,20.81,0.06273353,0.113815,5.173995537196255,9.9e+37
2024-09-28 15:35:16.107888,68779,16,21.85,0.06274702,0.113304,5.133042742835637,9.9e+37
2024-09-28 15:35:18.905409,71576,17,22.94,0.06326743,0.1128574,5.026996951194166,9.9e+37
2024-09-28 15:35:21.602937,74274,18,24.09,0.06273919,0.1137459,5.1679368791234985,9.9e+37
2024-09-28 15:35:24.202403,76873,19,25.29,0.06268169,0.1131489,5.130192779829269,9.9e+37
2024-09-28 15:35:26.712676,79384,20,26.55,0.06318738,0.106303,4.518303457070887,9.9e+37
2024-09-28 15:35:29.138253,81809,21,27.88,0.06321833,0.1139339,5.1161988906701685,9.9e+37
2024-09-28 15:35:31.492628,84164,22,29.27,0.06296928,0.1130336,5.081576641903585,9.9e+37
2024-09-28 15:35:33.762366,86433,23,30.73,0.06281792,0.114852,5.2411002029827225,9.9e+37
2024-09-28 15:35:35.952737,88624,24,32.27,0.06277527,0.1150425,5.26139443047402,9.9e+37
2024-09-28 15:35:38.072754,90744,25,33.88,0.06280518,0.1066893,4.602508020922789,9.9e+37
2024-09-28 15:35:40.125050,92796,26,35.57,0.06286544,0.1162485,5.3395079633154,9.9e+37
2024-09-28 15:35:42.112589,94784,27,37.35,0.06292293,0.1178486,5.450309806467532,9.9e+37
2024-09-28 15:35:44.038815,96710,28,39.22,0.06306786,0.1079297,4.666657500234864,9.9e+37
2024-09-28 15:35:45.907133,98578,29,41.18,0.06327645,0.1082855,4.666564005089779,9.9e+37
2024-09-28 15:35:47.722632,100394,30,43.24,0.06331801,0.1081078,4.646595448146216,9.9e+37
2024-09-28 15:35:49.483018,102154,31,45.4,0.06310059,0.1195784,5.552386362642165,9.9e+37
2024-09-28 15:35:51.273364,103944,32,47.67,0.06330648,0.1213208,5.649741982000961,9.9e+37
2024-09-28 15:35:52.938241,105609,33,50.05,0.063636,0.1174563,5.323468856242539,9.9e+37
2024-09-28 15:35:54.563288,107234,34,52.55,0.06360864,0.1171983,5.308104040121186,9.9e+37
2024-09-28 15:35:56.136732,108808,35,55.18,0.06319104,0.11506,5.205377332705639,9.9e+37
2024-09-28 15:35:57.669876,110341,36,57.94,0.06356031,0.1146683,5.125147345453462,9.9e+37
2024-09-28 15:35:59.164051,111835,37,60.84,0.06270467,0.121625,5.754459333537742,9.9e+37
2024-09-28 15:36:00.623228,113294,38,63.88,0.06386547,0.1164555,5.217877835418675,9.9e+37
2024-09-28 15:36:02.047978,114719,39,67.07,0.06330221,0.1226205,5.742884207175084,9.9e+37
2024-09-28 15:36:03.434738,116106,40,70.42,0.06322225,0.1298739,6.253038688856587,9.9e+37
2024-09-28 15:36:04.793647,117465,41,73.94,0.06399705,0.1412995,6.879613396059881,9.9e+37
2024-09-28 15:36:06.115854,118787,42,77.64,0.0630331,0.1320206,6.4214607140584965,9.9e+37
2024-09-28 15:36:07.413281,120084,43,81.52,0.06400818,0.1424839,6.950606304296833,9.9e+37
2024-09-28 15:36:08.677028,121348,44,85.6,0.06289413,0.1341715,6.581003221766713,9.9e+37
2024-09-28 15:36:09.915022,122586,45,89.88,0.06292343,0.1359163,6.689183101799068,9.9e+37
2024-09-28 15:36:11.126881,123798,46,94.37,0.06425369,0.1387136,6.684419387367452,9.9e+37
2024-09-28 15:36:12.315303,124986,47,99.09,0.06386594,0.1509125,7.46911809983972,55.24753
2024-09-28 15:36:13.479867,126151,48,104.04,0.06266332,0.1771032,9.024260151721618,54.375
2024-09-28 15:36:14.623468,127294,49,109.24,0.06352864,0.1657243,8.328332701631592,56.73913
2024-09-28 15:36:15.745154,128416,50,114.7,0.06390993,0.1844634,9.206837347048898,55.22727
2024-09-28 15:36:16.846463,129517,51,120.44,0.0626818,0.1710688,8.720586991137601,54.21687
2024-09-28 15:36:17.930132,130601,52,126.46,0.06339398,0.1742898,8.784479060894189,56.96202
2024-09-28 15:36:19.004256,131675,53,132.78,0.06336074,0.2019512,10.068523946000683,60.0
2024-09-28 15:36:20.055948,132727,54,139.42,0.06174693,0.1864229,9.597677796767288,55.0
2024-09-28 15:36:21.094367,133765,55,146.39,0.06290472,0.192011,9.69285751750975,55.78948
2024-09-28 15:36:22.113828,134785,56,153.71,0.06412437,0.1940572,9.618132988472329,54.11043
2024-09-28 15:36:23.133898,135805,57,161.4,0.06374783,0.2122849,10.449073954582712,54.93507
2024-09-28 15:36:24.134140,136805,58,169.47,0.06239979,0.2356915,11.543215845169685,52.2973
2024-09-28 15:36:25.113743,137785,59,177.94,0.06168127,0.2544572,12.309228736744961,52.71429
2024-09-28 15:36:26.079668,138751,60,186.84,0.06250983,0.2668295,12.60571049195818,55.07463
2024-09-28 15:36:27.028793,139700,61,196.18,0.06376946,0.2703231,12.545408395677685,52.03125
2024-09-28 15:36:27.965935,140637,62,205.99,0.06319834,0.2758041,12.79790093831079,55.04132
2024-09-28 15:36:28.889416,141560,63,216.29,0.06183255,0.2836775,13.232154671199595,54.78261
2024-09-28 15:36:29.804625,142476,64,227.1,0.06235299,0.2863436,13.240603935890514,54.0
2024-09-28 15:36:30.708359,143379,65,238.46,0.06351047,0.300391,13.496831799345268,50.19231
2024-09-28 15:36:31.603728,144275,66,250.38,0.06280065,0.3256868,14.296720365615268,52.2
2024-09-28 15:36:32.488395,145159,67,262.9,0.06199497,0.3575161,15.218782999112284,51.15789
2024-09-28 15:36:33.366607,146038,68,276.05,0.06321546,0.3707012,15.364013787469306,54.0
2024-09-28 15:36:34.234819,146906,69,289.85,0.0630879,0.3756181,15.49600880434857,52.32558
2024-09-28 15:36:35.095063,147766,70,304.34,0.06208395,0.3874809,15.905419186457088,50.4878
2024-09-28 15:36:35.964819,148636,71,319.56,0.06328928,0.3970308,15.949880876162423,53.07692
2024-09-28 15:36:36.816811,149488,72,335.54,0.06271028,0.4344088,16.81119748918536,50.4
2024-09-28 15:36:37.684442,150355,73,352.32,0.06258003,0.4625843,17.37510243658742,48.16902
2024-09-28 15:36:38.515417,151186,74,369.94,0.06329753,0.4723831,17.45815177193663,50.29412
2024-09-28 15:36:39.345055,152016,75,388.44,0.06236388,0.4855969,17.82685556758941,47.07692
2024-09-28 15:36:40.174719,152846,76,407.86,0.06339429,0.5026085,17.98359373582001,50.16394
2024-09-28 15:36:40.996247,153667,77,428.25,0.06241777,0.5492536,18.88929327108864,46.55173
2024-09-28 15:36:41.806940,154478,78,449.66,0.06339774,0.5676708,19.040455580001133,48.21429
2024-09-28 15:36:42.614753,155286,79,472.14,0.06254858,0.5798345,19.341731951213973,44.15094
2024-09-28 15:36:43.414881,156086,80,495.75,0.06327991,0.6055189,19.617237009330417,46.8
2024-09-28 15:36:44.207795,156879,81,520.54,0.06288255,0.6542189,20.34385883351029,48.75
2024-09-28 15:36:45.000684,157672,82,546.57,0.06284066,0.666774,20.514758380955847,43.04348
