Time,Milliseconds,Index,Freq,Vin,Vout,dB,Phase
2024-09-28 15:43:11.442041,5521,0,10,0.0629506,0.0744433,1.456514857908798,9.9e+37
2024-09-28 15:43:16.716160,10795,1,10.5,0.06208827,0.09630463,3.8127521601279724,9.9e+37
2024-09-28 15:43:21.772074,15851,2,11.03,0.06333398,0.07482644,1.448366056039828,9.9e+37
2024-09-28 15:43:26.621897,20701,3,11.58,0.06322526,0.096289,3.6537210489098344,9.9e+37
2024-09-28 15:43:31.272054,25351,4,12.16,0.06227271,0.09627336,3.7841672670723945,9.9e+37
2024-09-28 15:43:35.742680,29822,5,12.77,0.06345788,0.07530984,1.4873233163334483,9.9e+37
2024-09-28 15:43:40.028704,34108,6,13.41,0.06288776,0.07646015,1.697380396452771,9.9e+37
2024-09-28 15:43:44.139315,38218,7,14.08,0.06272957,0.07682887,1.761042701797302,9.9e+37
2024-09-28 15:43:48.092886,42172,8,14.78,0.06349314,0.07673522,1.64535874606669,9.9e+37
2024-09-28 15:43:51.886713,45966,9,15.52,0.06253497,0.0772543,1.8359943181501912,9.9e+37
2024-09-28 15:43:55.534108,49613,10,16.3,0.0635898,0.07774411,1.7456007428211808,9.9e+37
2024-09-28 15:43:59.042751,53122,11,17.12,0.06265284,0.07904742,2.018938754873199,9.9e+37
2024-09-28 15:44:02.414291,56493,12,17.98,0.06356446,0.1020886,4.115257725010075,9.9e+37
2024-09-28 15:44:05.659637,59739,13,18.88,0.06265514,0.08041489,2.167595349493802,9.9e+37
2024-09-28 15:44:08.784019,62863,14,19.82,0.06349123,0.08073243,2.0866856811937056,9.9e+37
2024-09-28 15:44:11.793729,65873,15,20.81,0.06335786,0.09200479,3.240198769312552,9.9e+37
2024-09-28 15:44:14.695457,68774,16,21.85,0.06237329,0.09601247,3.746579801212338,9.9e+37
2024-09-28 15:44:17.489950,71569,17,22.94,0.06330688,0.09543248,3.5649059915108534,9.9e+37
2024-09-28 15:44:20.185024,74264,18,24.09,0.0641994,0.09615865,3.509147765772014,9.9e+37
2024-09-28 15:44:22.785608,76865,19,25.29,0.06318243,0.09609952,3.6424978713696214,9.9e+37
2024-09-28 15:44:25.297074,79376,20,26.55,0.06273254,0.09732887,3.814976179935159,9.9e+37
2024-09-28 15:44:27.723813,81803,21,27.88,0.06403387,0.09200662,3.1481865314078465,9.9e+37
2024-09-28 15:44:30.064821,84144,22,29.27,0.06347726,0.09178279,3.2028616608407416,9.9e+37
