Time,Milliseconds,Index,Freq,Vin,Vout,dB,Phase
2024-09-28 16:06:03.447581,5516,0,10,0.06325012,0.07071067,0.9684719699890141,9.9e+37
2024-09-28 16:06:08.722210,10790,1,10.5,0.06237832,0.06054104,-0.25967593578404596,9.9e+37
2024-09-28 16:06:13.776088,15844,2,11.03,0.06360279,0.07071067,0.9201757095266134,9.9e+37
2024-09-28 16:06:18.623919,20692,3,11.58,0.06352524,0.07071067,0.9307727560628305,9.9e+37
2024-09-28 16:06:23.275088,25343,4,12.16,0.06258827,0.07134634,1.137575034452033,9.9e+37
2024-09-28 16:06:27.737145,29805,5,12.77,0.06374215,0.0735893,1.2477592768819354,9.9e+37
2024-09-28 16:06:32.019977,34088,6,13.41,0.06321928,0.07486665,1.4687771028408343,9.9e+37
2024-09-28 16:06:36.132931,38201,7,14.08,0.06303941,0.06719412,0.5543826156625751,9.9e+37
2024-09-28 16:06:40.084371,42152,8,14.78,0.06382325,0.07691371,1.620496898421793,9.9e+37
2024-09-28 16:06:43.882149,45950,9,15.52,0.06278352,0.07870609,1.9632535355895042,9.9e+37
2024-09-28 16:06:47.530830,49599,10,16.3,0.06385795,0.07906435,1.8553146479413782,9.9e+37
2024-09-28 16:06:51.036763,53105,11,17.12,0.06294025,0.06812098,0.6870484712458613,9.9e+37
2024-09-28 16:06:54.409667,56478,12,17.98,0.06383011,0.08059976,2.0261631151556228,9.9e+37
2024-09-28 16:06:57.655102,59723,13,18.88,0.06295198,0.08072829,2.1603271791540446,9.9e+37
2024-09-28 16:07:00.779904,62848,14,19.82,0.06374593,0.06919267,0.7121525588256715,9.9e+37
2024-09-28 16:07:03.789717,65858,15,20.81,0.06343702,0.08861815,2.9035981186251307,9.9e+37
2024-09-28 16:07:06.698526,68767,16,21.85,0.06243457,0.09002415,3.1786780901291283,9.9e+37
2024-09-28 16:07:09.496116,71564,17,22.94,0.06332604,0.09383683,3.4158199416912787,9.9e+37
